password,game
acute,"('cutey', 'cutie', 'carte', 'chute', 'scute', 'acute')"
acute,"('cutey', 'cutie', 'carte', 'chute', 'scute', 'acute')"
alone,"('onely', 'lande', 'lowne', 'leone', 'clone', 'alone')"
alone,"('onlay', 'longe', 'lowne', 'leone', 'clone', 'alone')"
amble,"('belah', 'blase', 'marle', 'moble', 'umble', 'amble')"
amble,"('lamer', 'blase', 'maile', 'moble', 'umble', 'amble')"
arose,"('sears', 'soree', 'rouse', 'roose', 'brose', 'arose')"
arose,"('sorel', 'sarge', 'rouse', 'roose', 'brose', 'arose')"
atone,"('neath', 'toaze', 'tonne', 'trone', 'stone', 'atone')"
atone,"('toney', 'toaze', 'tonne', 'trone', 'stone', 'atone')"
bacon,"('obang', 'acorn', 'acton', 'ascon', 'macon', 'bacon')"
bacon,"('obang', 'acorn', 'aboon', 'ascon', 'racon', 'bacon')"
baker,"('kerbs', 'abear', 'abler', 'anker', 'oaker', 'baker')"
baker,"('kebab', 'abear', 'abler', 'anker', 'saker', 'baker')"
baron,"('orang', 'robin', 'aboon', 'apron', 'maron', 'baron')"
baron,"('orant', 'robin', 'arson', 'apron', 'maron', 'baron')"
blare,"('label', 'laree', 'abore', 'leare', 'glare', 'blare')"
blare,"('rales', 'laree', 'abore', 'leare', 'glare', 'blare')"
cable,"('belah', 'blaze', 'abele', 'amble', 'table', 'cable')"
cable,"('eclat', 'abcee', 'abele', 'amble', 'gable', 'cable')"
cling,"('lings', 'incog', 'liang', 'lying', 'pling', 'cling')"
cling,"('ingle', 'incog', 'liang', 'lying', 'sling', 'cling')"
clone,"('noels', 'loche', 'lowne', 'leone', 'alone', 'clone')"
clone,"('noels', 'longe', 'lowne', 'leone', 'alone', 'clone')"
clued,"('ledum', 'lucid', 'luged', 'loued', 'slued', 'clued')"
clued,"('ledum', 'lucid', 'luted', 'loued', 'glued', 'clued')"
crate,"('teras', 'rathe', 'acute', 'roate', 'grate', 'crate')"
crate,"('rates', 'rathe', 'acute', 'reate', 'grate', 'crate')"
creme,"('remet', 'merge', 'reame', 'rheme', 'breme', 'creme')"
creme,"('mercy', 'merde', 'reame', 'rheme', 'breme', 'creme')"
crest,"('resto', 'resit', 'reast', 'reest', 'drest', 'crest')"
crest,"('scree', 'recit', 'reast', 'reest', 'wrest', 'crest')"
crone,"('oncet', 'ronde', 'royne', 'rhone', 'krone', 'crone')"
crone,"('nerol', 'ronde', 'ronne', 'rhone', 'prone', 'crone')"
drone,"('endow', 'ronte', 'ronne', 'rhone', 'crone', 'drone')"
drone,"('redos', 'ronte', 'royne', 'rhone', 'irone', 'drone')"
eagle,"('gleed', 'glebe', 'gerle', 'angle', 'pagle', 'eagle')"
eagle,"('gleek', 'glade', 'agile', 'angle', 'pagle', 'eagle')"
earth,"('artel', 'teach', 'rewth', 'airth', 'garth', 'earth')"
earth,"('treat', 'trash', 'rewth', 'airth', 'garth', 'earth')"
elder,"('deely', 'leear', 'leper', 'lader', 'alder', 'elder')"
elder,"('deere', 'leear', 'leger', 'lader', 'older', 'elder')"
enter,"('nertz', 'tenor', 'newer', 'noter', 'inter', 'enter')"
enter,"('trend', 'tenor', 'newer', 'noter', 'inter', 'enter')"
fable,"('blaff', 'blade', 'abele', 'amble', 'hable', 'fable')"
fable,"('leafy', 'blare', 'abele', 'amble', 'cable', 'fable')"
flare,"('refly', 'laree', 'afore', 'leare', 'glare', 'flare')"
flare,"('early', 'laree', 'afire', 'leare', 'glare', 'flare')"
frost,"('softs', 'roset', 'roist', 'roost', 'prost', 'frost')"
frost,"('rosts', 'roset', 'roist', 'roost', 'prost', 'frost')"
giant,"('atigi', 'angst', 'agent', 'idant', 'riant', 'giant')"
giant,"('tango', 'agist', 'agent', 'idant', 'riant', 'giant')"
grant,"('ranga', 'angst', 'agent', 'riant', 'drant', 'grant')"
grant,"('tanga', 'angst', 'agent', 'riant', 'drant', 'grant')"
homer,"('omers', 'mhorr', 'omber', 'ormer', 'comer', 'homer')"
homer,"('rheme', 'mhorr', 'omber', 'ormer', 'gomer', 'homer')"
inter,"('renin', 'tenor', 'tiler', 'noter', 'enter', 'inter')"
inter,"('terne', 'tenor', 'tiger', 'noter', 'enter', 'inter')"
irate,"('aired', 'targe', 'rifte', 'reate', 'crate', 'irate')"
irate,"('tires', 'raine', 'rifte', 'roate', 'prate', 'irate')"
labor,"('borax', 'blaer', 'algor', 'arbor', 'tabor', 'labor')"
